LogR;LogC;Rank;Counter;Pattern;Class
2,193125;2,465383;156;292;255,198,198,255,198,198,255,198,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;1
2,195900;2,465383;157;292;124,124,255,124,124,255,124,124,255,124,124,255,124,124,255,124,124,255,124,124,255,124,124,255,124,124,255,;1
2,198657;2,462398;158;290;198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,255,255,198,255,255,198,255,255,198,;0
2,201397;2,460898;159;289;255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,198,198,255,198,198,255,198,198,255,;0
2,204120;2,460898;160;289;255,255,255,255,255,255,255,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,;1
2,206826;2,460898;161;289;198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,;0
2,209515;2,459392;162;288;255,255,255,255,255,255,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,;1
2,212188;2,459392;163;288;255,255,255,0,0,0,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,;1
2,214844;2,456366;164;286;0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,0,0,0,0,0,0,255,255,255,;0
2,217484;2,454845;165;285;255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,255,255,255,255,255,255,255,;1
2,220108;2,450249;166;282;0,0,0,0,0,0,0,0,0,0,0,0,255,255,255,255,255,255,0,0,0,255,255,255,255,255,255,;0
2,222716;2,445604;167;279;124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,198,198,198,198,198,198,198,198,198,;0
2,225309;2,444045;168;278;198,198,124,198,198,124,198,198,124,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,;0
2,227887;2,437751;169;274;198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,124,198,198,124,198,198,124,;0
2,230449;2,436163;170;273;255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,0,0,0,0,0,0,0,0,0,;1
2,232996;2,436163;171;273;198,198,198,198,198,198,198,198,198,0,0,0,0,0,0,198,198,198,0,0,0,0,0,0,0,0,0,;1
2,235528;2,434569;172;272;0,0,0,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,;1
2,238046;2,432969;173;271;198,198,198,198,198,198,198,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,;0
2,240549;2,431364;174;270;124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,0,0,0,0,0,0,124,124,124,;1
2,243038;2,428135;175;268;198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,255,255,198,255,255,198,255,255,;0
2,245513;2,426511;176;267;255,255,124,255,255,124,255,255,124,255,255,124,255,255,124,255,255,124,255,255,124,255,255,124,255,255,124,;1
2,247973;2,426511;177;267;0,0,0,124,124,124,124,124,124,0,0,0,124,124,124,124,124,124,0,0,0,124,124,124,124,124,124,;0
2,250420;2,426511;178;267;0,0,0,0,0,0,124,124,124,0,0,0,0,0,0,124,124,124,0,0,0,0,0,0,124,124,124,;0
2,252853;2,424882;179;266;198,198,255,198,198,255,198,198,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;1
2,255273;2,419956;180;263;198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,;0
2,257679;2,414973;181;260;124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,0,0,0,124,124,124,124,124,124,;1
2,260071;2,409933;182;257;198,198,198,198,198,198,198,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,;1
2,262451;2,409933;183;257;198,198,198,198,198,198,198,198,198,0,0,0,198,198,198,198,198,198,0,0,0,0,0,0,0,0,0,;1
2,264818;2,404834;184;254;198,255,255,198,255,255,198,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;0
2,267172;2,403121;185;253;255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,198,198,198,198,198,198,198,198,198,;0
2,269513;2,399674;186;251;124,124,198,124,124,198,124,124,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,;1
